Ano,Mês,Unidade Federativa,IMPOSTO SOBRE IMPORTAÇÃO,IMPOSTO SOBRE EXPORTAÇÃO,IPI - FUMO,IPI - BEBIDAS,IPI - AUTOMÓVEIS,IPI - VINCULADO À IMPORTAÇÃO,IPI - OUTROS,IRPF,IRPJ - ENTIDADES FINANCEIRAS,IRPJ - DEMAIS EMPRESAS,IRRF - RENDIMENTOS DO TRABALHO,IRRF - RENDIMENTOS DO CAPITAL,IRRF - REMESSAS P/ EXTERIOR,IRRF - OUTROS RENDIMENTOS,IMPOSTO S/ OPERAÇÕES FINANCEIRAS,IMPOSTO TERRITORIAL RURAL,COFINS - FINANCEIRAS,COFINS - DEMAIS,PIS/PASEP - FINANCEIRAS,PIS/PASEP - DEMAIS,CSLL - FINANCEIRAS,CSLL - DEMAIS,CIDE-COMBUSTÍVEIS,CPSSS,OUTRAS RECEITAS ADMINISTRADAS
2021,Julho,RN,725873.00,-8.00,0.00,651007.00,0.00,55566.00,5048477.00,35690423.00,18076.00,111517453.00,47769644.00,3718138.00,3176546.00,2530268.00,1226274.00,84245.00,42586.00,81798268.00,6840.00,32089911.00,25314.00,67945249.00,0.00,45467642.00,3036926.00
2021,Julho,RO,83605.00,-65.00,0.00,208973.00,18080.00,56684.00,6544434.00,25077051.00,533507.00,70326860.00,23736587.00,2381025.00,176881.00,1893653.00,15536797.00,346730.00,344778.00,53052297.00,55489.00,21380202.00,393885.00,40207636.00,0.00,26321303.00,2731166.00
2021,Julho,RR,6558.00,648.00,0.00,284.00,0.00,25693.00,43736.00,7228634.00,1821.00,20026505.00,6387360.00,365227.00,37413.00,681524.00,73049.00,166166.00,4370.00,10683252.00,692.00,6604864.00,1944.00,11561639.00,0.00,14280595.00,441341.00
2021,Julho,RS,121332839.00,96703.00,73224947.00,11980259.00,35479.00,175778581.00,226456704.00,371487468.00,40703935.00,1496923984.00,447567054.00,104391394.00,94029596.00,37343901.00,150442333.00,2803584.00,48292715.00,1037635643.00,7977288.00,313839878.00,40970195.00,757054581.00,2936006.00,140810249.00,60523137.00
2021,Julho,SC,997846956.00,-3198.00,1936.00,3339730.00,1616479.00,544796860.00,296728467.00,161919893.00,2664015.00,1219082925.00,257825342.00,48749085.00,19225860.00,23345113.00,54658213.00,987889.00,2084980.00,1620220455.00,352290.00,402950690.00,1580557.00,592436902.00,88.00,66810001.00,49411877.00
2021,Julho,SE,18108.00,-11.00,732957.00,398888.00,16604.00,121120.00,6471666.00,27830032.00,4244966.00,51430147.00,29130076.00,2457746.00,1798278.00,2732756.00,4031493.00,36566.00,2402118.00,53624113.00,401342.00,21600987.00,3508035.00,34414674.00,0.00,22024262.00,3404654.00
2021,Julho,SP,2324098284.00,599608.00,1178820.00,36515294.00,55645141.00,904343363.00,1244222036.00,2022934042.00,1013052897.00,9943406785.00,3690395869.00,2077396332.00,1885650704.00,578796551.00,2768271569.00,5487981.00,1141306740.00,8811042833.00,187578594.00,2207519417.00,744232014.00,4643236241.00,7392231.00,170193767.00,606933335.00
2021,Julho,TO,2292.00,-15.00,0.00,614120.00,0.00,0.00,1579050.00,15468180.00,34127.00,75702084.00,15624440.00,657563.00,242128.00,1254742.00,316936.00,940284.00,32262.00,33491814.00,5782.00,14988336.00,31943.00,48108829.00,0.00,12129424.00,1322192.00
2021,Junho,AC,30612.05,0.00,0.00,207263.88,0.00,291816.63,26222.12,9521864.79,7886.02,7822447.71,8855190.79,536800.39,121662.46,867712.49,485404.72,16302.54,17503.23,14574491.85,2836.16,6925693.74,8538.95,5414655.29,0.00,8197147.85,582569.63
2021,Junho,AL,36632.46,1591.73,748.51,713020.89,4595.26,21125.95,10572021.19,33368463.35,1237.44,29768168.91,33872115.89,1155289.42,324387.71,2454009.69,1174034.59,186195.00,40858.19,65139461.42,7064.30,20029679.89,617.02,18704041.60,10882.64,27271487.77,2384229.30
